שם             	ענף בבורסה                                	כתובת                                      	טלפון       	פקס        	אתר הבית                       	דואר אלקטרוני                     	שם מלא                                      	מספר מנפיק	מספר תאגיד
תדאה           	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	מדינת היהודים 85, הרצליה                   	09-9602010  	09-9569081 	                               	isabelle@tedea.com                	תדאה, פיתוח טכנולוגי ואוטומציה בעמ          	142       	520034364
תדיר גן        	ריאלי - תעשיה - מתכת ומוצרי בניה          	אזור תעשיה אלון תבור, עפולה                	073-2267300 	04-6426222 	www.tadirgan.co.il             	golanke@tadirgan-group.com        	תדיר-גן (מוצרים מדוייקים) 1993 בעמ          	1185      	511870891
תדיראן הולדינגס	ריאלי - מסחר ושרותים - מסחר               	גליס 9, פתח תקוה                           	03-7949052  	03-7949061 	www.tadiran-group.co.il        	shlomitg@tadiran-group.co.il      	תדיראן הולדינגס בעמ                         	258       	520036732
תיא השקעות     	ריאלי - מסחר ושרותים - תקשורת ומדיה       	דרך מנחם בגין 11, רמת גן                   	03-7549944  	03-7549945 	www.taya.co.il                 	info@tayamedia.com                	תיא חברה להשקעות בעמ                        	796       	520008483
תיגבור-מאגר כא 	ריאלי - מסחר ושרותים - שרותים             	אבא הלל סילבר 14, בית עוז, רמת גן          	03-5762120  	03-5762100 	www.tigbur.co.il               	tomer@tigbur.co.il                	תיגבור-מאגר כח אדם מקצועי זמני בעמ          	1460      	510882830
תכוף           	ריאלי - תעשיה - מתכת ומוצרי בניה          	אזור תעשיה ציפורית, הסדנא 10, נצרת עילית   	04-6410641  	04-6418555 	www.hatehof.co.il              	hatehof@hatehof.co.il             	התכוף תעשיות (מקבוצת ברנד) בעמ              	795       	520032533
תכלית אינדק מטח	מכשירים פיננסים - תעודות סל - תעודות סל   	מגדל צ'מפיון,ששת הימים 30, בני ברק         	03-6110400  	03-7904480 	www.tih.co.il                  	tzahip@mtds.co.il                 	תכלית אינדקס מטח בעמ                        	1481      	513806588
תכלית אינדקססל 	מכשירים פיננסים - תעודות סל - תעודות סל   	מגדל צ'מפיון,ששת הימים 30, בני ברק         	03-6110400  	03-7904480 	www.tih.co.il                  	tzahip@mtds.co.il                 	תכלית אינדקס סל בעמ                         	1337      	513801605
תכלית גלובל    	מכשירים פיננסים - תעודות סל - תעודות סל   	מגדל צ'מפיון,ששת הימים 30, בני ברק         	03-6110400  	03-7904480 	www.tih.co.il                  	tzahip@mtds.co.il                 	תכלית גלובל בעמ                             	1336      	513815258
תכלית דולר     	מכשירים פיננסים - תעודות סל - תעודות סל   	מגדל צ'מפיון,ששת הימים 30, בני ברק         	03-6110400  	03-7904480 	www.tih.co.il                  	tzahip@mtds.co.il                 	תכלית דולר עולמי בעמ                        	1202      	513540310
תכלית מורכבות  	מכשירים פיננסים - תעודות סל - תעודות סל   	מגדל צ'מפיון,ששת הימים 30, בני ברק         	03-6110400  	03-6110401 	www.tih.co.il                  	tzahip@mtds.co.il                 	תכלית מורכבות בעמ                           	1475      	513944660
תכלית מטבעות   	מכשירים פיננסים - תעודות סל - תעודות סל   	מגדל צ'מפיון,ששת הימים 30, בני ברק         	03-6110400  	03-7904480 	www.tih.co.il                  	tzahip@mtds.co.il                 	תכלית מטבעות בעמ                            	1261      	513678391
תכלית סל       	מכשירים פיננסים - תעודות סל - תעודות סל   	מגדל צ'מפיון,ששת הימים 30, בני ברק         	03-6110400  	03-7904480 	www.tih.co.il                  	tzahip@mtds.co.il                 	תכלית תעודות סל בעמ                         	1223      	513594101
תכלית פקדונות  	מכשירים פיננסים - תעודות סל - תעודות סל   	מגדל צ'מפיון,ששת הימים 30, בני ברק         	03-6110400  	03-7904480 	www.tih.co.il                  	tzahip@mtds.co.il                 	תכלית פקדונות בעמ                           	1522      	514019207
תמיר הון       	הייטק - טכנולוגיה - השקעות בהייטק         	הברזל 38, תל-אביב                          	03-6849333  	03-6852460 	www.dfjtamirfishman.com        	legal@tfventures.com              	תמיר פישמן הון סיכון II בעמ                 	1102      	512101460
תמיר פישמן נדלן	ריאלי - נדלן ובינוי - נדלן ובינוי         	הברזל 38, תל אביב                          	03-6849333  	03-6853323 	www.tamirfishman.co.il         	legal@tamfish.com                 	תמיר פישמן קרן נדלן בעמ                     	1529      	513627901
תעוזה          	הייטק - טכנולוגיה - השקעות בהייטק         	בית דירן,ק' ג,שד' ההסתדרות 49, חיפה        	04-8728788  	04-8729393 	www.teuzafund.com              	teuza@teuzafund.com               	תעוזה                                       	290       	520036757
תעשיה אוירית   	הייטק - טכנולוגיה - ביטחוניות             	נתבג, לוד                                  	03-9358562  	03-9354267 	www.iai.co.il                  	eyounian@iai.co.il                	התעשיה האוירית לישראל בעמ                   	1457      	520027194
תפן            	ריאלי - מסחר ושרותים - שרותים             	מנחם בגין 5, בית דגן                       	03-9775151  	03-9775152 	www.tefen.com                  	erezt@tefen.co.il                 	תפן הנדסת תעשיה וניהול וניתוח מערכות בעמ    	673       	520040973
תפרון          	ריאלי - תעשיה - אופנה והלבשה              	תד 1365, א.ת. תרדיון, ד.נ. משגב            	04-9900881  	04-9900054 	www.tefron.com                 	peliezer@tefron.com               	תפרון בעמ                                   	2076      	520043407
תראפיקס ביו    	הייטק - ביומד - ביוטכנולוגיה              	מרכז עזריאלי,מגדל מרובע 5, תל אביב         	03-6167055  	03-6167056 	www.therapixbio.com            	info@therapixbio.com              	תראפיקס ביוסיינסס בעמ                       	1292      	513581652
